,ARRIVE_TIME
1195,25915.0
1196,25920.0
1197,25925.0
1198,25930.0
1199,25935.0
1200,25980.0
1201,25985.0
1202,25990.0
1203,25995.0
1204,26000.0
1205,26005.0
1206,26010.0
1207,26015.0
1208,26020.0
1209,26025.0
1210,26030.0
1211,26035.0
1212,26060.0
1213,26065.0
1214,26070.0
1215,26075.0
1216,26080.0
1217,26085.0
1218,26090.0
1219,26095.0
1220,26100.0
1221,26105.0
1222,26110.0
1223,26115.0
1224,26120.0
1225,26125.0
1226,26130.0
1227,26135.0
1228,26140.0
1229,26145.0
1230,26150.0
1231,26155.0
1232,26160.0
1233,26165.0
1234,26170.0
1235,26175.0
1236,26180.0
1237,26185.0
1238,26190.0
1239,26195.0
1240,54513.0
